step,time,q1,q1d,q2,q2d,wrap_dist
397,19.850,-3.596109,1.823057,0.024790,0.001715,1.879026
398,19.900,-3.510214,1.625208,0.025168,0.001629,1.666679
399,19.950,-3.433364,1.460398,0.025534,0.001943,1.489479
400,20.000,-3.364018,1.324242,0.025905,0.002549,1.343044
401,20.050,-3.300841,1.212831,0.026294,0.003358,1.223528
402,20.100,-3.242683,1.122779,0.026713,0.004304,1.127645
403,20.150,-3.188572,1.050415,0.027174,0.005610,1.051831
404,20.200,-3.137690,0.993127,0.027693,0.007083,0.993546
405,20.250,-3.089378,0.947181,0.028318,0.010238,0.949096
406,20.300,-3.043150,0.909415,0.029150,0.015826,0.915329
407,20.350,-2.998576,0.880670,0.030240,0.020876,0.892963
408,20.400,-2.955198,0.861303,0.031566,0.025592,0.882177
409,20.450,-2.912128,0.868303,0.033050,0.027286,0.899133
410,20.500,-2.868082,0.900429,0.034623,0.028989,0.942136
411,20.550,-2.821788,0.958513,0.036279,0.030182,1.011558
412,20.600,-2.771919,1.043980,0.037984,0.030410,1.108567
413,20.650,-2.717044,1.159414,0.039653,0.027785,1.235648
414,20.700,-2.655600,1.307691,0.041116,0.021013,1.395843
415,20.750,-2.585869,1.491937,0.042154,0.009258,1.592660
